"Step","genial-sweep-15 - Train_Mean_Angular","genial-sweep-15 - Train_Mean_Angular__MIN","genial-sweep-15 - Train_Mean_Angular__MAX","hopeful-sweep-14 - Train_Mean_Angular","hopeful-sweep-14 - Train_Mean_Angular__MIN","hopeful-sweep-14 - Train_Mean_Angular__MAX","deep-sweep-13 - Train_Mean_Angular","deep-sweep-13 - Train_Mean_Angular__MIN","deep-sweep-13 - Train_Mean_Angular__MAX","gallant-sweep-12 - Train_Mean_Angular","gallant-sweep-12 - Train_Mean_Angular__MIN","gallant-sweep-12 - Train_Mean_Angular__MAX","visionary-sweep-11 - Train_Mean_Angular","visionary-sweep-11 - Train_Mean_Angular__MIN","visionary-sweep-11 - Train_Mean_Angular__MAX","resilient-sweep-10 - Train_Mean_Angular","resilient-sweep-10 - Train_Mean_Angular__MIN","resilient-sweep-10 - Train_Mean_Angular__MAX","fragrant-sweep-9 - Train_Mean_Angular","fragrant-sweep-9 - Train_Mean_Angular__MIN","fragrant-sweep-9 - Train_Mean_Angular__MAX","young-sweep-8 - Train_Mean_Angular","young-sweep-8 - Train_Mean_Angular__MIN","young-sweep-8 - Train_Mean_Angular__MAX","fine-sweep-6 - Train_Mean_Angular","fine-sweep-6 - Train_Mean_Angular__MIN","fine-sweep-6 - Train_Mean_Angular__MAX","vivid-sweep-5 - Train_Mean_Angular","vivid-sweep-5 - Train_Mean_Angular__MIN","vivid-sweep-5 - Train_Mean_Angular__MAX"
"63","2.43632173538208","2.43632173538208","2.43632173538208","2.298473834991455","2.298473834991455","2.298473834991455","2.331686496734619","2.331686496734619","2.331686496734619","2.200960874557495","2.200960874557495","2.200960874557495","2.2353804111480713","2.2353804111480713","2.2353804111480713","2.2718148231506348","2.2718148231506348","2.2718148231506348","2.4771676063537598","2.4771676063537598","2.4771676063537598","2.1088051795959473","2.1088051795959473","2.1088051795959473","2.114529848098755","2.114529848098755","2.114529848098755","2.0592117309570312","2.0592117309570312","2.0592117309570312"
"66","2.675229549407959","2.675229549407959","2.675229549407959","2.177593469619751","2.177593469619751","2.177593469619751","2.1599953174591064","2.1599953174591064","2.1599953174591064","2.148556709289551","2.148556709289551","2.148556709289551","2.5166308879852295","2.5166308879852295","2.5166308879852295","2.2014973163604736","2.2014973163604736","2.2014973163604736","2.2138543128967285","2.2138543128967285","2.2138543128967285","2.066222667694092","2.066222667694092","2.066222667694092","2.209415912628174","2.209415912628174","2.209415912628174","1.8528568744659424","1.8528568744659424","1.8528568744659424"
"69","2.4566450119018555","2.4566450119018555","2.4566450119018555","2.5115323066711426","2.5115323066711426","2.5115323066711426","2.185169219970703","2.185169219970703","2.185169219970703","2.0961904525756836","2.0961904525756836","2.0961904525756836","2.2547812461853027","2.2547812461853027","2.2547812461853027","2.080580711364746","2.080580711364746","2.080580711364746","2.3440511226654053","2.3440511226654053","2.3440511226654053","2.1485557556152344","2.1485557556152344","2.1485557556152344","2.4371769428253174","2.4371769428253174","2.4371769428253174","1.93101167678833","1.93101167678833","1.93101167678833"
"72","1.9157586097717285","1.9157586097717285","1.9157586097717285","1.629546880722046","1.629546880722046","1.629546880722046","2.1427202224731445","2.1427202224731445","2.1427202224731445","2.094686985015869","2.094686985015869","2.094686985015869","2.7008144855499268","2.7008144855499268","2.7008144855499268","2.2725017070770264","2.2725017070770264","2.2725017070770264","1.8892834186553955","1.8892834186553955","1.8892834186553955","2.3948140144348145","2.3948140144348145","2.3948140144348145","1.6650798320770264","1.6650798320770264","1.6650798320770264","2.1038928031921387","2.1038928031921387","2.1038928031921387"
"75","2.0125083923339844","2.0125083923339844","2.0125083923339844","2.278057098388672","2.278057098388672","2.278057098388672","2.0851640701293945","2.0851640701293945","2.0851640701293945","2.254366397857666","2.254366397857666","2.254366397857666","2.396420955657959","2.396420955657959","2.396420955657959","2.1732418537139893","2.1732418537139893","2.1732418537139893","2.1012845039367676","2.1012845039367676","2.1012845039367676","2.3382179737091064","2.3382179737091064","2.3382179737091064","2.4187304973602295","2.4187304973602295","2.4187304973602295","2.192981719970703","2.192981719970703","2.192981719970703"
"78","2.4504098892211914","2.4504098892211914","2.4504098892211914","2.854800224304199","2.854800224304199","2.854800224304199","2.2793424129486084","2.2793424129486084","2.2793424129486084","2.1713833808898926","2.1713833808898926","2.1713833808898926","1.95949125289917","1.95949125289917","1.95949125289917","2.24505352973938","2.24505352973938","2.24505352973938","2.2841339111328125","2.2841339111328125","2.2841339111328125","2.126178503036499","2.126178503036499","2.126178503036499","2.4750096797943115","2.4750096797943115","2.4750096797943115","2.184288501739502","2.184288501739502","2.184288501739502"
"81","2.060331344604492","2.060331344604492","2.060331344604492","2.063735246658325","2.063735246658325","2.063735246658325","2.2744641304016113","2.2744641304016113","2.2744641304016113","2.057699680328369","2.057699680328369","2.057699680328369","1.5435254573822021","1.5435254573822021","1.5435254573822021","2.1202783584594727","2.1202783584594727","2.1202783584594727","2.247957229614258","2.247957229614258","2.247957229614258","2.1442079544067383","2.1442079544067383","2.1442079544067383","2.423175811767578","2.423175811767578","2.423175811767578","2.1599364280700684","2.1599364280700684","2.1599364280700684"
"84","1.7224385738372803","1.7224385738372803","1.7224385738372803","1.834964632987976","1.834964632987976","1.834964632987976","2.29754900932312","2.29754900932312","2.29754900932312","2.16263484954834","2.16263484954834","2.16263484954834","2.409080982208252","2.409080982208252","2.409080982208252","2.1077451705932617","2.1077451705932617","2.1077451705932617","2.1815361976623535","2.1815361976623535","2.1815361976623535","2.1096906661987305","2.1096906661987305","2.1096906661987305","2.352849245071411","2.352849245071411","2.352849245071411","2.518355369567871","2.518355369567871","2.518355369567871"
"87","2.389129161834717","2.389129161834717","2.389129161834717","2.537017822265625","2.537017822265625","2.537017822265625","2.204937696456909","2.204937696456909","2.204937696456909","2.2572598457336426","2.2572598457336426","2.2572598457336426","2.434263229370117","2.434263229370117","2.434263229370117","1.9866304397583008","1.9866304397583008","1.9866304397583008","1.89365816116333","1.89365816116333","1.89365816116333","1.8855208158493042","1.8855208158493042","1.8855208158493042","2.317589044570923","2.317589044570923","2.317589044570923","2.098641872406006","2.098641872406006","2.098641872406006"
"90","1.6890002489089966","1.6890002489089966","1.6890002489089966","1.6651185750961304","1.6651185750961304","1.6651185750961304","2.337938070297241","2.337938070297241","2.337938070297241","2.224557399749756","2.224557399749756","2.224557399749756","2.7335495948791504","2.7335495948791504","2.7335495948791504","2.1594398021698","2.1594398021698","2.1594398021698","2.3320446014404297","2.3320446014404297","2.3320446014404297","2.198899269104004","2.198899269104004","2.198899269104004","2.3514437675476074","2.3514437675476074","2.3514437675476074","2.349747896194458","2.349747896194458","2.349747896194458"
