"Step","quiet-durian-31 - Test_Mean_Angular_Distance_EPNP","quiet-durian-31 - Test_Mean_Angular_Distance_EPNP__MIN","quiet-durian-31 - Test_Mean_Angular_Distance_EPNP__MAX","quiet-durian-31 - Test_Mean_Angular_Distance_ITERATIVE","quiet-durian-31 - Test_Mean_Angular_Distance_ITERATIVE__MIN","quiet-durian-31 - Test_Mean_Angular_Distance_ITERATIVE__MAX","quiet-durian-31 - Test_Mean_Angular_Distance_SQPNP","quiet-durian-31 - Test_Mean_Angular_Distance_SQPNP__MIN","quiet-durian-31 - Test_Mean_Angular_Distance_SQPNP__MAX","quiet-durian-31 - Test_Mean_Angular_Distance_IPPE","quiet-durian-31 - Test_Mean_Angular_Distance_IPPE__MIN","quiet-durian-31 - Test_Mean_Angular_Distance_IPPE__MAX","quiet-durian-31 - Test_Mean_Angular_Distance_P3P","quiet-durian-31 - Test_Mean_Angular_Distance_P3P__MIN","quiet-durian-31 - Test_Mean_Angular_Distance_P3P__MAX"
"1859","","","","","","","133.43642699264961","133.43642699264961","133.43642699264961","","","","","",""
"1861","","","","11.609419437218236","11.609419437218236","11.609419437218236","","","","","","","","",""
"1862","110.62284874930299","110.62284874930299","110.62284874930299","","","","","","","","","","","",""
"1863","","","","","","","","","","","","","94.26347842856943","94.26347842856943","94.26347842856943"
"1867","","","","","","","","","","3.0653170698419387","3.0653170698419387","3.0653170698419387","","",""
"1868","","","","","","","85.35233956855774","85.35233956855774","85.35233956855774","","","","","",""
"1870","","","","19.160812620497154","19.160812620497154","19.160812620497154","","","","","","","","",""
"1871","108.7326444403546","108.7326444403546","108.7326444403546","","","","","","","","","","","",""
"1872","","","","","","","","","","","","","90.07917116181073","90.07917116181073","90.07917116181073"
"1876","","","","","","","","","","12.967129555286164","12.967129555286164","12.967129555286164","","",""
"1877","","","","","","","94.00090935086705","94.00090935086705","94.00090935086705","","","","","",""
"1879","","","","27.99499602631235","27.99499602631235","27.99499602631235","","","","","","","","",""
"1880","109.05313112021337","109.05313112021337","109.05313112021337","","","","","","","","","","","",""
"1881","","","","","","","","","","","","","141.10488207875395","141.10488207875395","141.10488207875395"
"1885","","","","","","","","","","2.6459042201982754","2.6459042201982754","2.6459042201982754","","",""
"1886","","","","","","","73.22661161785348","73.22661161785348","73.22661161785348","","","","","",""
"1888","","","","97.29445733994413","97.29445733994413","97.29445733994413","","","","","","","","",""
"1889","155.42053760229612","155.42053760229612","155.42053760229612","","","","","","","","","","","",""
"1890","","","","","","","","","","","","","72.68418910702384","72.68418910702384","72.68418910702384"
"1894","","","","","","","","","","7.864457190469608","7.864457190469608","7.864457190469608","","",""
"1895","","","","","","","94.79190869304215","94.79190869304215","94.79190869304215","","","","","",""
"1897","","","","3.5988403301443554","3.5988403301443554","3.5988403301443554","","","","","","","","",""
"1898","125.1369751998729","125.1369751998729","125.1369751998729","","","","","","","","","","","",""
"1899","","","","","","","","","","","","","84.4157432008519","84.4157432008519","84.4157432008519"
"1903","","","","","","","","","","6.441697335135757","6.441697335135757","6.441697335135757","","",""
"1904","","","","","","","98.8015544901131","98.8015544901131","98.8015544901131","","","","","",""
"1906","","","","23.4730925729325","23.4730925729325","23.4730925729325","","","","","","","","",""
"1907","53.552338893150036","53.552338893150036","53.552338893150036","","","","","","","","","","","",""
"1908","","","","","","","","","","","","","34.55443510100662","34.55443510100662","34.55443510100662"
"1912","","","","","","","","","","0.219467955808625","0.219467955808625","0.219467955808625","","",""
"1913","","","","","","","37.10217073979712","37.10217073979712","37.10217073979712","","","","","",""
"1915","","","","27.785275616798742","27.785275616798742","27.785275616798742","","","","","","","","",""
"1916","98.99272136114413","98.99272136114413","98.99272136114413","","","","","","","","","","","",""
"1917","","","","","","","","","","","","","29.667830786634283","29.667830786634283","29.667830786634283"
"1921","","","","","","","","","","70.46495657551543","70.46495657551543","70.46495657551543","","",""
"1922","","","","","","","121.04427371105655","121.04427371105655","121.04427371105655","","","","","",""
"1924","","","","17.75459030369572","17.75459030369572","17.75459030369572","","","","","","","","",""
"1925","71.1243003421067","71.1243003421067","71.1243003421067","","","","","","","","","","","",""
"1926","","","","","","","","","","","","","32.04421018098873","32.04421018098873","32.04421018098873"
"1930","","","","","","","","","","95.2167477250339","95.2167477250339","95.2167477250339","","",""
"1931","","","","","","","72.53914169927263","72.53914169927263","72.53914169927263","","","","","",""
"1933","","","","170.3003486593501","170.3003486593501","170.3003486593501","","","","","","","","",""
"1934","29.326086146476","29.326086146476","29.326086146476","","","","","","","","","","","",""
"1935","","","","","","","","","","","","","6.761353808414896","6.761353808414896","6.761353808414896"
"1939","","","","","","","","","","22.81378165805964","22.81378165805964","22.81378165805964","","",""
"1940","","","","","","","131.26013493419435","131.26013493419435","131.26013493419435","","","","","",""
"1942","","","","89.82609632354715","89.82609632354715","89.82609632354715","","","","","","","","",""
"1943","138.40323992534346","138.40323992534346","138.40323992534346","","","","","","","","","","","",""
"1944","","","","","","","","","","","","","100.91706818824906","100.91706818824906","100.91706818824906"
"1948","","","","","","","","","","5.605597225703917","5.605597225703917","5.605597225703917","","",""
"1949","","","","","","","102.17425273072398","102.17425273072398","102.17425273072398","","","","","",""
"1951","","","","100.82186785966472","100.82186785966472","100.82186785966472","","","","","","","","",""
"1952","167.33984994476336","167.33984994476336","167.33984994476336","","","","","","","","","","","",""
"1953","","","","","","","","","","","","","94.7226246854573","94.7226246854573","94.7226246854573"
"1957","","","","","","","","","","61.558042837765285","61.558042837765285","61.558042837765285","","",""
"1958","","","","","","","94.60017349802467","94.60017349802467","94.60017349802467","","","","","",""
