"Step","zany-disco-38 - Test_Mean_Angular_Distance_EPNP","zany-disco-38 - Test_Mean_Angular_Distance_EPNP__MIN","zany-disco-38 - Test_Mean_Angular_Distance_EPNP__MAX","zany-disco-38 - Test_Mean_Angular_Distance_ITERATIVE","zany-disco-38 - Test_Mean_Angular_Distance_ITERATIVE__MIN","zany-disco-38 - Test_Mean_Angular_Distance_ITERATIVE__MAX","zany-disco-38 - Test_Mean_Angular_Distance_SQPNP","zany-disco-38 - Test_Mean_Angular_Distance_SQPNP__MIN","zany-disco-38 - Test_Mean_Angular_Distance_SQPNP__MAX","zany-disco-38 - Test_Mean_Angular_Distance_P3P","zany-disco-38 - Test_Mean_Angular_Distance_P3P__MIN","zany-disco-38 - Test_Mean_Angular_Distance_P3P__MAX","zany-disco-38 - Test_Mean_Angular_Distance_AP3P","zany-disco-38 - Test_Mean_Angular_Distance_AP3P__MIN","zany-disco-38 - Test_Mean_Angular_Distance_AP3P__MAX"
"1976","","","","","","","41.63506458254008","41.63506458254008","41.63506458254008","","","","","",""
"1978","","","","65.99733361395644","65.99733361395644","65.99733361395644","","","","","","","","",""
"1979","137.91197616962666","137.91197616962666","137.91197616962666","","","","","","","","","","","",""
"1980","","","","","","","","","","154.42986259238168","154.42986259238168","154.42986259238168","","",""
"1983","","","","","","","","","","","","","154.42983524022944","154.42983524022944","154.42983524022944"
"1985","","","","","","","150.9696325549454","150.9696325549454","150.9696325549454","","","","","",""
"1987","","","","48.6643815355535","48.6643815355535","48.6643815355535","","","","","","","","",""
"1988","168.10553467832074","168.10553467832074","168.10553467832074","","","","","","","","","","","",""
"1989","","","","","","","","","","166.23529881704064","166.23529881704064","166.23529881704064","","",""
"1992","","","","","","","","","","","","","166.2352547603642","166.2352547603642","166.2352547603642"
"1994","","","","","","","55.83253523936165","55.83253523936165","55.83253523936165","","","","","",""
"1996","","","","82.18873483925472","82.18873483925472","82.18873483925472","","","","","","","","",""
"1997","168.49852726143797","168.49852726143797","168.49852726143797","","","","","","","","","","","",""
"1998","","","","","","","","","","170.3861487124966","170.3861487124966","170.3861487124966","","",""
"2001","","","","","","","","","","","","","170.38614698497236","170.38614698497236","170.38614698497236"
"2003","","","","","","","159.00296236592243","159.00296236592243","159.00296236592243","","","","","",""
"2005","","","","5.022513606153808","5.022513606153808","5.022513606153808","","","","","","","","",""
"2006","128.12702225015727","128.12702225015727","128.12702225015727","","","","","","","","","","","",""
"2007","","","","","","","","","","65.304727616578","65.304727616578","65.304727616578","","",""
"2010","","","","","","","","","","","","","65.30463358084796","65.30463358084796","65.30463358084796"
"2012","","","","","","","62.398462836104514","62.398462836104514","62.398462836104514","","","","","",""
"2014","","","","61.383538562390726","61.383538562390726","61.383538562390726","","","","","","","","",""
"2015","76.13670643877671","76.13670643877671","76.13670643877671","","","","","","","","","","","",""
"2016","","","","","","","","","","135.90607415996334","135.90607415996334","135.90607415996334","","",""
"2019","","","","","","","","","","","","","135.9598391442283","135.9598391442283","135.9598391442283"
"2021","","","","","","","37.14975384899421","37.14975384899421","37.14975384899421","","","","","",""
"2023","","","","58.946213809537966","58.946213809537966","58.946213809537966","","","","","","","","",""
"2024","71.80026914220286","71.80026914220286","71.80026914220286","","","","","","","","","","","",""
"2025","","","","","","","","","","59.17768184480428","59.17768184480428","59.17768184480428","","",""
"2028","","","","","","","","","","","","","43.8884314069486","43.8884314069486","43.8884314069486"
"2030","","","","","","","165.63371273319763","165.63371273319763","165.63371273319763","","","","","",""
"2032","","","","61.786380470922","61.786380470922","61.786380470922","","","","","","","","",""
"2033","94.06317068968784","94.06317068968784","94.06317068968784","","","","","","","","","","","",""
"2034","","","","","","","","","","47.664595896241934","47.664595896241934","47.664595896241934","","",""
"2037","","","","","","","","","","","","","47.665290212845605","47.665290212845605","47.665290212845605"
"2039","","","","","","","42.942657709307326","42.942657709307326","42.942657709307326","","","","","",""
"2041","","","","14.289861303945315","14.289861303945315","14.289861303945315","","","","","","","","",""
"2042","112.15649917438235","112.15649917438235","112.15649917438235","","","","","","","","","","","",""
"2043","","","","","","","","","","52.07783424582358","52.07783424582358","52.07783424582358","","",""
"2046","","","","","","","","","","","","","52.1613809443033","52.1613809443033","52.1613809443033"
"2048","","","","","","","117.08490928595754","117.08490928595754","117.08490928595754","","","","","",""
"2050","","","","58.95962249850264","58.95962249850264","58.95962249850264","","","","","","","","",""
"2051","96.32018954515272","96.32018954515272","96.32018954515272","","","","","","","","","","","",""
"2052","","","","","","","","","","153.85443148439975","153.85443148439975","153.85443148439975","","",""
"2055","","","","","","","","","","","","","153.85442715180008","153.85442715180008","153.85442715180008"
"2057","","","","","","","42.81676858616672","42.81676858616672","42.81676858616672","","","","","",""
"2059","","","","69.08968343468436","69.08968343468436","69.08968343468436","","","","","","","","",""
"2060","45.76662139547088","45.76662139547088","45.76662139547088","","","","","","","","","","","",""
"2061","","","","","","","","","","46.21000808938595","46.21000808938595","46.21000808938595","","",""
"2064","","","","","","","","","","","","","46.98150580424206","46.98150580424206","46.98150580424206"
"2066","","","","","","","5.155854347354449","5.155854347354449","5.155854347354449","","","","","",""
"2068","","","","47.27046857303006","47.27046857303006","47.27046857303006","","","","","","","","",""
"2069","168.10998217332","168.10998217332","168.10998217332","","","","","","","","","","","",""
"2070","","","","","","","","","","55.41316560997615","55.41316560997615","55.41316560997615","","",""
"2073","","","","","","","","","","","","","55.413101119631435","55.413101119631435","55.413101119631435"
"2075","","","","","","","165.28924520888935","165.28924520888935","165.28924520888935","","","","","",""
"2077","","","","66.13873840872002","66.13873840872002","66.13873840872002","","","","","","","","",""
"2078","160.22459080502267","160.22459080502267","160.22459080502267","","","","","","","","","","","",""
"2079","","","","","","","","","","34.096869238593655","34.096869238593655","34.096869238593655","","",""
"2082","","","","","","","","","","","","","34.09686224638406","34.09686224638406","34.09686224638406"
"2084","","","","","","","42.92606249801318","42.92606249801318","42.92606249801318","","","","","",""
"2086","","","","27.034269980575402","27.034269980575402","27.034269980575402","","","","","","","","",""
"2087","141.94568673415117","141.94568673415117","141.94568673415117","","","","","","","","","","","",""
"2088","","","","","","","","","","53.042030214477066","53.042030214477066","53.042030214477066","","",""
"2091","","","","","","","","","","","","","53.05332752051628","53.05332752051628","53.05332752051628"
